alpha,beta,norm_hs,norm_ps,norm_md,total_norm_score,status
0.500000,0.500000,0.228600,0.041700,0.600000,0.549450,success
0.500000,0.600000,0.228600,0.041700,0.600000,0.609450,success
0.500000,0.700000,0.257100,0.000000,0.600000,0.677100,success
0.500000,0.800000,0.228600,0.041700,0.600000,0.729450,success
0.500000,0.900000,0.228600,0.041700,0.600000,0.789450,success
0.500000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.500000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.500000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.500000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.500000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.500000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.600000,0.500000,0.228600,0.041700,0.600000,0.553620,success
0.600000,0.600000,0.228600,0.041700,0.600000,0.613620,success
0.600000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.600000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.600000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.600000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.600000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.600000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.600000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.600000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.600000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.700000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.700000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.700000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.700000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.700000,0.900000,0.228600,0.041700,0.600000,0.797790,success
0.700000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.700000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.700000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.700000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.700000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.700000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.800000,0.500000,0.371400,0.000000,0.200000,0.471400,success
0.800000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.800000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.800000,0.800000,0.371400,0.000000,0.200000,0.531400,success
0.800000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.800000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.800000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.800000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.800000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.800000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.800000,1.500000,0.371400,0.000000,0.200000,0.671400,success
0.900000,0.500000,0.228600,0.041700,0.600000,0.566130,success
0.900000,0.600000,0.371400,0.000000,0.200000,0.491400,success
0.900000,0.700000,0.371400,0.000000,0.200000,0.511400,success
0.900000,0.800000,0.228600,0.041700,0.600000,0.746130,success
0.900000,0.900000,0.371400,0.000000,0.200000,0.551400,success
0.900000,1.000000,0.371400,0.000000,0.200000,0.571400,success
0.900000,1.100000,0.371400,0.000000,0.200000,0.591400,success
0.900000,1.200000,0.371400,0.000000,0.200000,0.611400,success
0.900000,1.300000,0.371400,0.000000,0.200000,0.631400,success
0.900000,1.400000,0.371400,0.000000,0.200000,0.651400,success
0.900000,1.500000,0.371400,0.000000,0.200000,0.671400,success
1.000000,0.500000,0.371400,0.000000,0.200000,0.471400,success
1.000000,0.600000,0.371400,0.000000,0.200000,0.491400,success
1.000000,0.700000,0.371400,0.000000,0.200000,0.511400,success
1.000000,0.800000,0.371400,0.000000,0.200000,0.531400,success
1.000000,0.900000,0.371400,0.000000,0.200000,0.551400,success
1.000000,1.000000,0.371400,0.000000,0.200000,0.571400,success
1.000000,1.100000,0.371400,0.000000,0.200000,0.591400,success
1.000000,1.200000,0.371400,0.000000,0.200000,0.611400,success
1.000000,1.300000,0.371400,0.000000,0.200000,0.631400,success
1.000000,1.400000,0.371400,0.000000,0.200000,0.651400,success
1.000000,1.500000,0.371400,0.000000,0.200000,0.671400,success
1.100000,0.500000,0.371400,0.000000,0.200000,0.471400,success
1.100000,0.600000,0.371400,0.000000,0.200000,0.491400,success
1.100000,0.700000,0.371400,0.000000,0.200000,0.511400,success
1.100000,0.800000,0.371400,0.000000,0.200000,0.531400,success
1.100000,0.900000,0.371400,0.000000,0.200000,0.551400,success
1.100000,1.000000,0.371400,0.000000,0.200000,0.571400,success
1.100000,1.100000,0.371400,0.000000,0.200000,0.591400,success
1.100000,1.200000,0.371400,0.000000,0.200000,0.611400,success
1.100000,1.300000,0.371400,0.000000,0.200000,0.631400,success
1.100000,1.400000,0.371400,0.000000,0.200000,0.651400,success
1.100000,1.500000,0.371400,0.000000,0.200000,0.671400,success
1.200000,0.500000,0.371400,0.000000,0.200000,0.471400,success
